,department,function,industry,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,minimum_salary_grp,maximum_salary_grp,company_profile_length,description_length,requirements_length,benefits_length,dominant_topic
2597,0,0,0,0,0,1,0,0,0,-1,-1,-1.083280545957376,-0.7005730495356182,-0.2520040625854058,2.4269889635301594,29
8235,0,1,1,0,1,0,3,3,9,0,0,0.05659743035298908,0.6248175779873135,1.7484251829048085,-0.533685011003553,26
3539,0,0,0,0,1,0,0,1,5,-1,-1,0.45614228802878715,-0.6213377402815299,-0.6481286656527749,-0.49905724521953304,24
6656,1,1,1,0,1,0,5,3,9,-1,-1,-0.31944478863599735,-0.4772735416377329,1.3324943496840709,1.821003062309809,29
3828,0,0,0,0,1,1,0,0,0,-1,-1,2.8064061567099525,0.7112560971735917,0.18373300078870025,-0.533685011003553,7
14414,0,0,1,0,1,1,4,4,5,-1,-1,0.197613262473859,-0.39083502245145474,-0.4500663641190904,-0.42980171365149294,5
16151,1,0,1,0,1,0,5,5,0,-1,-1,2.019067760701762,-0.239567613875468,2.035615520128651,-0.533685011003553,29
16390,1,1,1,0,1,0,5,2,0,-1,-1,1.3022372807540066,0.19982819198811264,-0.7966753918030385,-0.533685011003553,29
5512,0,1,1,0,1,1,5,7,9,-1,-1,-0.2841908306057799,0.8481170858851989,-0.41045390381235347,-0.29129065051541286,21
14500,0,1,1,0,1,0,0,1,1,-1,-1,0.35038041393813474,-0.5132895912986821,-0.20248848720198467,1.2669588097654885,28
9807,1,1,1,0,1,1,5,3,11,-1,-1,0.6089094394930629,-0.3548189727905055,0.02528315956175258,-0.031582407135262634,21
8771,0,1,1,0,0,0,5,5,4,3,3,-1.083280545957376,-0.43405428204459384,-0.014329300744984336,0.07230089021679745,26
9857,0,1,1,0,1,0,5,3,9,2,2,-0.47221194010027306,-0.563712060824011,0.8472417109265435,-0.27397676762340284,9
12877,0,1,1,0,1,1,5,3,0,-1,-1,0.5736554814628454,1.2226840023590708,-0.13316668166519507,-0.533685011003553,21
6829,1,1,1,0,0,1,3,1,1,1,0,-1.083280545957376,-0.28278687346860704,-0.024232415821668563,-0.42980171365149294,6
1102,0,1,1,0,1,0,5,3,9,-1,-1,-0.10792104045469249,-0.41964786218021416,-0.024232415821668563,1.5266670531456388,20
2143,0,0,0,0,1,1,0,0,0,-1,-1,-0.7072383269683896,-0.6285409502137197,-0.40055078873566924,-0.533685011003553,29
1090,0,0,1,0,1,1,3,0,9,-1,-1,-0.9657673525233178,-1.0031078666875917,-0.6184193204227223,-0.481743362327523,25
10387,0,0,1,0,1,1,5,0,0,-1,-1,0.937946381108426,-0.4628671217733532,0.32237661186227945,-0.533685011003553,26
696,0,0,1,0,1,1,3,0,9,-1,-1,-0.9657673525233178,-1.0031078666875917,-0.6184193204227223,-0.481743362327523,25
1404,0,1,1,0,1,0,5,0,9,-1,-1,-0.3546987466662148,0.5815983183941745,-0.20248848720198467,-0.1008379387033027,29
1303,0,0,0,0,1,0,0,0,0,-1,-1,3.5232366366577073,-0.5060863813664923,-0.7966753918030385,-0.533685011003553,5
10510,0,1,1,0,1,1,5,5,8,3,3,0.9496977004518319,-0.07389378543510151,-0.4797757093491431,0.21081195335287756,8
4926,0,1,1,0,1,1,5,3,9,-1,-1,-0.16667763717172163,0.32228276083534,1.1047227029203335,-0.533685011003553,29
5300,0,1,1,0,0,0,3,5,1,0,0,-1.083280545957376,-1.0535303362129207,0.1342174254052791,-0.42980171365149294,29
6175,1,1,1,0,1,0,5,3,0,-1,-1,2.5831310891852417,0.17101535225935324,-0.7966753918030385,-0.533685011003553,9
3809,0,0,0,0,1,0,0,0,0,-1,-1,1.1729727679765425,-0.8446372481794151,1.075013357690281,-0.533685011003553,2
10409,0,0,0,0,1,1,0,0,0,-1,-1,-0.5192172174738964,-0.12431625496043044,-0.7966753918030385,-0.533685011003553,29
12390,0,0,1,0,1,0,5,5,0,-1,-1,1.2669833227237892,-0.2107547741467086,1.4513317306042814,0.609031259869108,5
11665,0,1,1,0,1,0,5,5,12,3,3,1.34924255812763,0.5888015283263643,0.02528315956175258,-0.533685011003553,21
6645,1,1,0,0,1,1,2,0,0,0,0,-0.16667763717172163,-0.1171130450282406,-0.3114227530455112,-0.2566628847313928,3
12540,0,1,1,0,1,1,5,4,5,-1,-1,-0.6719843689381721,-0.13151946489262029,-0.7372567013429331,-0.533685011003553,24
15726,0,1,0,0,1,0,5,0,5,-1,-1,0.3386290945947289,-0.39083502245145474,-0.07374799120508971,-0.533685011003553,21
3425,0,1,1,1,1,1,5,3,3,1,1,-0.4017040240398381,1.1362454831727926,2.778349150879968,1.5266670531456388,29
8735,1,1,1,0,1,0,5,5,0,-1,-1,0.08010006903980073,-0.06669057550291167,-0.004426185668300106,-0.18740735316335277,8
6107,1,1,1,0,1,1,5,4,8,-1,-1,-0.5192172174738964,0.3655020204284791,0.02528315956175258,-0.44711559654350297,3
12523,0,1,1,0,1,0,5,4,5,-1,-1,-0.6719843689381721,-0.801417988586276,-0.5590006299626169,-0.533685011003553,19
17445,0,0,0,0,1,0,0,0,0,-1,-1,0.2093645818172648,-0.4556639118411634,0.11441119525191064,1.4747254044696088,19
14928,0,1,1,0,1,0,5,3,0,-1,-1,0.7264226329271212,-0.6213377402815299,-0.23219783243203737,2.392361197746139,11
3543,0,0,1,0,1,1,3,0,9,-1,-1,-0.9657673525233178,-1.0031078666875917,-0.6184193204227223,-0.481743362327523,25
3383,0,1,1,0,0,1,5,4,5,-1,-1,-1.083280545957376,-0.06669057550291167,-0.5590006299626169,-0.37786006497546293,21
3380,1,1,1,0,1,1,5,5,1,-1,-1,1.3727451968144415,0.29346992110658066,0.7878230204664383,-0.031582407135262634,5
4932,0,1,1,1,0,1,4,3,5,-1,-1,-1.083280545957376,-0.7509955190609471,0.09460496509854219,-0.031582407135262634,6
9200,1,1,1,0,1,0,5,6,0,-1,-1,-0.4252066627266498,1.0642133838508943,1.0552071275369124,0.21081195335287756,29
5816,0,1,1,0,1,0,1,1,1,-1,-1,0.9144437424216144,-0.4700703317055431,-0.23219783243203737,-0.42980171365149294,12
9125,1,1,1,0,1,0,1,2,3,-1,-1,0.05659743035298908,-0.3836318125192649,1.5206535361410711,-0.533685011003553,29
11138,1,0,0,0,1,0,5,0,0,-1,-1,-0.013910485707445876,0.1638121423271634,-0.7966753918030385,-0.533685011003553,8
12282,0,0,1,0,0,0,3,5,0,-1,-1,-1.083280545957376,1.0137909143255652,-0.7966753918030385,-0.533685011003553,11
6100,1,0,1,0,0,0,5,4,0,-1,-1,-1.083280545957376,0.26465708137782123,-0.7966753918030385,-0.533685011003553,21
16960,0,1,0,0,1,0,0,0,0,-1,-1,1.078962213229296,-0.6789634197390486,-0.6085162053460381,-0.37786006497546293,7
4911,0,0,1,0,1,1,5,0,0,-1,-1,0.09185138838320656,-0.09550341523167107,0.3421828420156479,1.3189004584415185,29
17655,1,1,1,0,1,1,5,5,8,-1,-1,-0.6602330495947664,-0.8302308283150354,-0.6679348958061434,-0.44711559654350297,24
488,0,0,1,0,0,0,5,0,0,-1,-1,-0.7072383269683896,1.0930262235796535,1.4810410758343342,-0.533685011003553,21
10434,0,1,1,0,1,0,5,4,5,-1,-1,-0.072667082424475,-0.009064896045392904,0.560051373702701,-0.533685011003553,23
2290,0,0,0,0,1,1,0,0,0,-1,-1,-0.7424922849986071,-0.707776259467808,0.2530548063254898,0.12424253889282749,4
5433,0,1,1,0,1,1,5,3,1,0,0,0.45614228802878715,0.08457683307307509,-0.6976442410361962,-0.32591841629943286,29
14840,0,1,1,0,1,0,4,2,0,-1,-1,-0.8012488817156362,-0.4556639118411634,-0.07374799120508971,-0.533685011003553,29
6968,0,1,1,0,1,1,5,5,0,-1,-1,0.738173952270527,0.5023630091400861,0.5501482586260167,0.31469525070493765,29
12601,0,0,0,0,1,0,0,0,0,-1,-1,0.45614228802878715,-0.5348992210952517,-0.7966753918030385,-0.533685011003553,19
2534,0,1,1,0,1,0,5,0,0,-1,-1,-0.049164443737663356,-0.030674525841962442,0.43131087770580595,-0.533685011003553,11
1830,0,0,0,0,1,1,0,0,0,-1,-1,-0.03741312439425753,-1.0463271262807308,-0.6184193204227223,-0.3086045334074229,0
16677,1,0,0,0,1,1,0,0,0,-1,-1,-0.4369579820700556,-0.49167996150211263,-0.4500663641190904,-0.533685011003553,23
14129,1,0,1,1,1,1,3,3,0,-1,-1,-0.8482541590892595,-1.08234317594168,-0.29161652289214274,-0.3086045334074229,9
12145,0,0,0,0,0,0,5,0,0,-1,-1,-0.7072383269683896,0.2214378217846822,-0.7966753918030385,-0.533685011003553,23
15560,0,1,1,0,1,0,2,0,0,-1,-1,1.4550044322182825,-0.44125749197678366,-0.7966753918030385,-0.533685011003553,10
867,1,1,1,0,1,1,5,5,1,2,2,0.05659743035298908,0.06296720327650555,0.4214077626291217,-0.533685011003553,29
8980,0,1,1,0,1,0,5,5,0,-1,-1,-0.2959421499491857,-0.9238725574335034,0.302570381708911,-0.3605461820834529,11
4442,0,1,1,0,1,1,5,0,9,-1,-1,-0.8012488817156362,-0.570915270756201,-0.5391943998092484,0.10692865600081748,28
17765,0,0,0,0,0,0,0,0,0,-1,-1,-1.083280545957376,-0.4124446522480243,-0.7966753918030385,-0.533685011003553,28
2957,0,1,1,0,1,1,5,6,9,-1,-1,0.6911686748969037,2.6489195689326603,0.5303420284726482,-0.533685011003553,21
11335,0,1,1,0,1,1,5,4,5,-1,-1,0.40913701065516384,0.3943148601572385,-0.014329300744984336,0.7475423230051881,20
16060,0,1,1,0,1,0,5,5,9,-1,-1,-0.10792104045469249,-0.3620221827226954,0.3718921872457006,1.4920392873616186,20
1989,0,1,1,0,0,0,5,5,9,-1,-1,-0.7072383269683896,-1.0535303362129207,0.06489561986848949,-0.533685011003553,22
16157,0,1,1,0,0,0,5,3,1,2,1,-1.083280545957376,-0.10990983509605075,1.4018161552208603,0.03767312443277742,29
10593,1,1,1,0,1,0,5,5,9,3,3,1.5255123482787174,0.7184593071057815,-0.7966753918030385,-0.533685011003553,9
15765,0,0,1,0,1,1,4,3,0,-1,-1,-1.083280545957376,0.47355016941132677,-0.30151963796882697,-0.533685011003553,29
4056,0,0,0,0,1,0,0,0,0,-1,-1,1.1729727679765425,-0.8230276183828455,-0.024232415821668563,-0.533685011003553,3
9881,0,1,1,0,1,1,5,3,5,-1,-1,0.09185138838320656,-0.6213377402815299,-0.2123916022786689,0.5917173769770979,6
3428,0,0,0,0,0,1,4,0,0,-1,-1,-1.083280545957376,-0.707776259467808,0.11441119525191064,-0.533685011003553,9
12727,0,1,0,0,0,0,5,0,0,-1,-1,-0.7072383269683896,-0.8302308283150354,-0.5391943998092484,-0.533685011003553,11
1386,1,1,1,0,1,0,5,4,1,2,2,-0.09616972111128666,-0.8086211985184658,-0.5391943998092484,1.4747254044696088,29
